ADDRESS;SCHOOL_CATEGORY;SCHOOL_NAME;Geom;Geo Local Area;geo_point_2d,,,,Longitude,Latitude
"1150 Nelson St;Public School;Lord Roberts Annex;""{""""coordinates"""": [-123.12980600999998",49.28309171," """"type"""": """"Point""""}"";West End;49.2830917101",-123.129806,-123.129806,49.28309171
"4444 Dumfries St;Public School;Lord Selkirk Annex;""{""""coordinates"""": [-123.07246012",49.24532077," """"type"""": """"Point""""}"";Kensington-Cedar Cottage;49.2453207741",-123.0724601,-123.0724601,49.24532077
"2678 W Broadway;Independent School;Madrona School;""{""""coordinates"""": [-123.16601055529476",49.26352826," """"type"""": """"Point""""}"";Kitsilano;49.2635282608",-123.1660106,-123.1660106,49.26352826
"2300 Guelph St;StrongStart BC;Mount Pleasant StrongStart Centre;""{""""coordinates"""": [-123.09399954",49.26396573," """"type"""": """"Point""""}"";Mount Pleasant;49.2639657321",-123.0939995,-123.0939995,49.26396573
"2550 Camosun St;Independent School;Our Lady of Perpetual Help;""{""""coordinates"""": [-123.19617943097614",49.26413507," """"type"""": """"Point""""}"";West Point Grey;49.2641350707",-123.1961794,-123.1961794,49.26413507
"1819 Larch St;Independent School;Pacific Rim Montessori Academy;""{""""coordinates"""": [-123.16244364510744",49.2697858," """"type"""": """"Point""""}"";Kitsilano;49.2697857983",-123.1624436,-123.1624436,49.2697858
"1580 W Broadway;Public School;Peak House;""{""""coordinates"""": [-123.14026052001878",49.26329988," """"type"""": """"Point""""}"";Fairview;49.2632998823",-123.1402605,-123.1402605,49.26329988
"4102 W 16th Av;Public School;Queen Elizabeth Elementary;""{""""coordinates"""": [-123.20112784000001",49.25779177," """"type"""": """"Point""""}"";Dunbar-Southlands;49.2577917721",-123.2011278,-123.2011278,49.25779177
"1850 E 3rd Av;Public School;Queen Victoria Annex;""{""""coordinates"""": [-123.06634874",49.26718785," """"type"""": """"Point""""}"";Grandview-Woodland;49.2671878491",-123.0663487,-123.0663487,49.26718785
"3315 E 22nd Av;Public School;Renfrew Community Elementary;""{""""coordinates"""": [-123.03205805",49.25145777," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2514577741",-123.0320581,-123.0320581,49.25145777
"4250 Marguerite St;Public School;Shaughnessy Elementary;""{""""coordinates"""": [-123.14380998000001",49.24867608," """"type"""": """"Point""""}"";Shaughnessy;49.2486760751",-123.14381,-123.14381,49.24867608
"960 E 39th Av;Public School;Sir Alexander Mackenzie Elementary;""{""""coordinates"""": [-123.08671432",49.23453644," """"type"""": """"Point""""}"";Kensington-Cedar Cottage;49.2345364351",-123.0867143,-123.0867143,49.23453644
"419 E 24th Av;Public School;Sir Charles Tupper Secondary;""{""""coordinates"""": [-123.09480947999998",49.2497535," """"type"""": """"Point""""}"";Riley Park;49.2497535011",-123.0948095,-123.0948095,49.2497535
"3250 Kingsway;Public School;Sir Guy Carleton Community Elementary;""{""""coordinates"""": [-123.03760798",49.23434775," """"type"""": """"Point""""}"";Renfrew-Collingwood;49.2343477461",-123.037608,-123.037608,49.23434775
"1300 E 29th Av;Public School;Sir Richard McBride Elementary;""{""""coordinates"""": [-123.07817551",49.24415661," """"type"""": """"Point""""}"";Kensington-Cedar Cottage;49.2441566091",-123.0781755,-123.0781755,49.24415661
"1950 E Hastings St;Public School;Sir William Macdonald Community;""{""""coordinates"""": [-123.06467911",49.28072391," """"type"""": """"Point""""}"";Grandview-Woodland;49.2807239091",-123.0646791,-123.0646791,49.28072391
